state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
penis.n.01,1,the male organ of copulation (`member' is a euphemism),0,1,0,1,member
authority.n.01,1,the power or right to give orders or make decisions,1,0,0,0,authority
travel.v.05,1,undergo transportation as in a vehicle,0,0,0,0,travel
solicitation.n.02,1,request for a sum of money,0,0,0,0,collection
chair.v.01,1,"act or preside as chair, as of an academic department in a university",0,0,0,1,chair
roll_up.v.02,1,get or gather together,0,0,1,0,amass
company.n.03,1,the state of being with someone,0,0,0,1,fellowship
speaker.n.03,1,the presiding officer of a deliberative assembly,0,0,1,0,speaker
celebration.n.03,1,the public performance of a sacrament or solemn ceremony with all appropriate ritual,0,0,0,0,celebration
teacher.n.02,1,a personified abstraction that teaches,0,0,0,0,teacher
deal.v.09,1,distribute cards to the players in a game,0,0,0,0,deal
sit.v.10,1,serve in a specific professional capacity,0,0,0,0,sit
develop.v.21,1,expand in the form of a series,0,0,1,0,develop
typeset.v.01,1,set in type,0,0,0,0,set
period.n.07,1,a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations,0,0,0,0,period
bring.v.03,1,cause to happen or to occur as a consequence,0,0,0,0,work
appear.v.06,1,"appear as a character on stage or appear in a play, etc.",0,0,0,1,appear
chronicle.v.01,1,record in chronological order; make a historical record,0,0,0,0,chronicle
curate.n.01,1,a person authorized to conduct religious worship,0,1,0,1,rector
servant.n.01,1,a person working in the service of another (especially in the household),0,0,0,0,servant
promote.v.01,1,contribute to the progress or growth of,0,0,1,0,promote
raise.v.24,1,bring (a surface or a design) into relief and cause to project,0,0,1,0,raise
residency.n.01,1,the act of dwelling in a place,0,0,1,0,residence
visit.v.08,1,assail,0,0,1,0,visit
draw.v.06,1,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",0,0,0,0,draw
crucial.a.01,1,of extreme importance; vital to the resolution of a crisis,1,0,0,0,important
tax.v.02,1,set or determine the amount of (a payment such as a fine),0,0,0,0,assess
subnormal.s.01,1,below normal or average,0,0,0,0,subnormal
film_director.n.01,1,the person who directs the making of a film,0,1,0,1,director
dislike.v.01,1,have or feel a dislike or distaste for,1,0,0,0,dislike
clock.v.01,1,measure the time or duration of an event or action or the person who performs an action in a certain period of time,0,0,0,0,time
discipline.v.02,1,punish in order to gain control or enforce obedience,0,0,0,0,correct
able.s.02,1,have the skills and qualifications to do things well,0,0,0,0,able
charm.v.04,1,induce into action by using one's charm,0,0,0,0,influence
enjoy.v.01,1,derive or receive pleasure from; get enjoyment from; take pleasure in,0,0,0,0,enjoy
act.v.10,1,perform on a stage or theater,0,0,0,0,act
bootleg.v.01,1,sell illicit products such as drugs or alcohol,0,1,1,0,bootleg
feel.v.13,1,pass one's hands over the sexual organs of,0,0,0,0,felt
fan.v.01,1,"strike out (a batter), (of a pitcher)",0,1,0,0,fan
let.v.01,1,make it possible through a specific action or lack of action for something to happen,0,0,0,0,let
production.n.04,1,(law) the act of exhibiting in a court of law,0,0,0,0,production
train.v.01,1,create by training and teaching,0,0,0,0,educate
determine.v.06,1,fix in scope; fix the boundaries of,0,0,0,0,determine
restrain.v.03,1,"to close within bounds, limit or hold back from movement",0,0,0,1,hold
player.n.05,1,an important participant (as in a business deal),0,1,0,0,player
founder.v.04,1,stumble and nearly fall,0,0,0,1,founder
secretary.n.02,1,an assistant who handles correspondence and clerical work for a boss or an organization,0,0,0,1,secretary
ally.v.01,1,"become an ally or associate, as by a treaty or marriage",1,0,0,0,ally
cover.v.05,1,act on verbally or in some form of artistic expression,0,0,0,0,deal
structure.v.01,1,give a structure to,0,0,0,0,structure
suffer.v.10,1,undergo or suffer,1,0,0,0,suffer
