state (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
collaborate.v.01,1,work together on a common enterprise of project,0,0,0,0,cooperate
work.v.03,1,have an effect or outcome; often the one desired or expected,0,1,1,0,work
honor.v.01,1,bestow honor or rewards upon,0,0,0,0,honor
premier.v.01,1,be performed for the first time,0,0,0,0,premiere
guest.n.02,1,United States journalist (born in England) noted for his syndicated homey verse (1881-1959),0,0,0,0,guest
confederate.n.02,1,someone who assists in a plot,0,0,0,0,collaborator
debater.n.01,1,someone who engages in debate,0,0,0,1,debater
remain.v.03,1,"be left; of persons, questions, problems, results, evidence, etc.",0,0,1,0,remain
residence.n.02,1,the official house or establishment of an important person (as a sovereign or president),0,0,1,0,residence
raise.v.16,1,bid (one's partner's suit) at a higher level,0,0,1,0,raise
militant.n.01,1,a militant reformer,0,1,0,0,activist
give.v.32,1,perform for an audience,0,0,0,0,give
exhaust.v.05,1,eliminate (a substance),1,0,1,0,release
target.v.01,1,intend (something) to move towards a certain goal,0,0,0,0,direct
queen.v.01,1,"promote to a queen, as of a pawn in chess",1,0,0,0,queen
survive.v.01,1,continue to live through hardship or adversity,0,1,1,0,live
defy.v.02,1,"elude, especially in a baffling way",0,0,0,0,resist
render.v.04,1,give or supply,0,0,0,0,give
duty.n.01,1,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr,0,0,0,0,duty
read.v.09,1,audition for a stage role by reading parts of a role,0,0,0,0,read
contend.v.06,1,be engaged in a fight; carry on a fight,0,0,0,0,fight
usher.v.01,1,"take (someone) to their seats, as in theaters or auditoriums",1,0,0,0,show
pick.v.01,1,select carefully from a group,1,0,0,0,pick
name.v.01,1,assign a specified (usually proper) proper name to,1,0,0,0,name
authority.n.02,1,(usually plural) persons who exercise (administrative) control over others,1,0,0,0,authority
travel.v.05,1,undergo transportation as in a vehicle,0,0,0,0,travel
collection.n.01,1,several things grouped together or considered as a whole,0,0,0,0,collection
chair.v.01,1,"act or preside as chair, as of an academic department in a university",0,0,0,1,chair
stay.v.04,1,"continue in a place, position, or situation",0,0,0,0,remain
speaker.n.01,1,someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous),0,0,1,0,speaker
humorist.n.01,1,someone who acts speaks or writes in an amusing way,0,0,0,0,humorist
produce.v.03,1,"cause to happen, occur or exist",0,1,0,1,produce
visit.v.07,1,stay with as a guest,0,0,1,0,visit
chastise.v.01,1,censure severely,0,0,0,0,correct
draw.v.06,1,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",0,0,0,0,draw
authoritative.s.01,1,having authority or ascendancy or influence,1,0,0,0,important
assess.v.02,1,"charge (a person or a property) with a payment, such as a tax or a fine",0,0,0,0,assess
subnormal.n.01,1,a person of less than normal intelligence,0,0,0,0,subnormal
board.v.02,1,live and take one's meals at or in,0,0,0,0,room
project.v.03,1,transfer (ideas or principles) from one domain into another,0,0,1,0,project
hold.v.29,1,"take and maintain control over, often by violent means",0,0,1,0,hold
dislike.v.01,1,have or feel a dislike or distaste for,1,0,0,0,dislike
able.a.01,1,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,0,0,0,0,able
separate.v.12,1,come apart,0,0,0,0,part
enjoy.v.01,1,derive or receive pleasure from; get enjoyment from; take pleasure in,0,0,0,0,enjoy
sit.v.02,1,"be around, often idly or without specific purpose",0,0,0,0,sit
conduct.v.02,1,"lead, as in the performance of a composition",0,0,1,1,conduct
bring.v.02,1,cause to come into a particular state or condition,0,0,1,0,bring
celebration.n.01,1,a joyful occasion for special festivities to mark some happy event,0,0,0,0,celebration
freedom.n.01,1,the condition of being free; the power to act or speak or think without externally imposed restraints,0,0,0,0,freedom
incline.v.02,1,bend or turn (one's ear) towards a speaker in order to listen well,0,0,0,0,incline
service.v.01,1,be used by; as of a utility,0,0,0,0,service
imprison.v.01,1,"lock up or confine, in or as in a jail",0,0,0,0,imprison
palpate.v.01,1,examine (a body part) by palpation,0,0,0,0,felt
life.n.05,1,the period during which something is functional (as between birth and death),0,0,1,0,life
