event (WORDNET SENSE IF EXIST),occorrences,definition,rep_event,asp_event,location,organization,targets
create.v.02,1,bring into existence,0,0,0,0,create
birthplace.n.01,1,the place where someone was born,1,0,1,0,birthplace
restrain.v.03,1,"to close within bounds, limit or hold back from movement",0,0,0,1,hold
scat.v.01,1,flee; take to one's heels; cut and run,0,0,0,0,escape
picture.v.02,1,"show in, or as in, a picture",1,0,0,0,depict
escape.v.01,1,run away from confinement,0,0,0,0,escape
enroll.v.01,1,register formally as a participant or member,0,0,0,0,recruit
emigrate.v.01,1,leave one's country of residence for a new one,0,0,1,0,emigrate
collapse.v.01,1,"break down, literally or metaphorically",0,0,0,1,founder
unblock.v.03,1,make (assets) available,0,0,1,0,release
receive.v.05,1,express willingness to have in one's home or environs,0,0,0,1,invite
air.v.03,1,"broadcast over the airwaves, as in radio or television",0,0,0,0,transmit
convert.v.09,1,"make (someone) agree, understand, or realize the truth or validity of something",0,0,0,0,convince
work.v.08,1,"operate in a certain place, area, or specialty",0,0,1,1,work
meet.v.10,1,"contend against an opponent in a sport, game, or battle",0,0,1,0,meet
collection.n.01,1,several things grouped together or considered as a whole,0,0,0,0,collection
go.v.16,1,"pass, fare, or elapse; of a certain state of affairs or action",0,0,1,0,go
yield.v.13,1,consent reluctantly,0,0,0,0,succumb
fund.v.01,1,convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds,0,0,0,1,fund
run.v.01,1,"move fast by using one's feet, with one foot off the ground at any given time",0,0,0,0,run
rejoin.v.01,1,join again,0,0,0,0,rejoin
bring.v.03,1,cause to happen or to occur as a consequence,0,0,0,0,bring
note.v.01,1,make mention of,0,0,0,1,note
ph.d..n.01,1,a doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded graduate study,0,0,0,0,phd
gather.v.01,1,assemble or get together,0,0,0,0,collect
rat.v.04,1,give (hair) the appearance of being fuller by using a rat,0,0,0,0,rat
know.v.05,1,"have firsthand knowledge of states, situations, emotions, or sensations",0,0,0,0,know
denounce.v.03,1,"announce the termination of, as of treaties",0,0,0,0,denounce
operate.v.01,1,"direct or control; projects, businesses, etc.",0,0,1,0,run
harbor.v.01,1,"maintain (a theory, thoughts, or feelings)",0,0,1,0,hold
re-elected,1,re-elected,0,0,0,1,re-elected
donate.v.01,1,give to a charity or good cause,1,0,1,1,donate
dissertation.n.01,1,a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree,0,0,0,0,dissertation
involve.v.06,1,occupy or engage the interest of,0,0,0,1,involve
hash_out.v.01,1,speak with others about (something); talk (something) over in detail; have a discussion,0,0,0,0,discuss
spare.v.01,1,refrain from harming,0,0,0,0,spar
embrace.v.02,1,"squeeze (someone) tightly in your arms, usually with fondness",0,0,0,0,embrace
remove.v.01,1,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",0,0,0,1,remove
health.n.02,1,the general condition of body and mind,0,0,0,0,health
baptize.v.01,1,administer baptism to,0,0,0,0,christen
submit.v.06,1,yield to another's wish or opinion,0,0,0,0,submit
write.v.01,1,produce a literary work,0,0,0,1,write
shoot.v.10,1,"emit (as light, flame, or fumes) suddenly and forcefully",0,0,0,0,shoot
consort.v.01,1,keep company with; hang out with,0,0,1,1,associate
protest.v.03,1,affirm or avow formally or solemnly,0,0,0,1,protest
become.v.01,1,enter or assume a certain state or condition,0,0,1,0,go
move_over.v.01,1,move in order to make room for someone for something,0,0,0,0,give
spend.v.02,1,pay out,1,0,0,0,spend
relocate.v.01,1,become established in a new location,0,0,1,0,relocate
carry_through.v.01,1,put in effect,0,0,0,0,action
build_up.v.02,1,form or accumulate steadily,0,0,1,0,build
invite.v.05,1,have as a guest,0,0,0,0,invite
film.v.02,1,record in film,0,0,0,1,film
usher.v.01,1,"take (someone) to their seats, as in theaters or auditoriums",0,0,0,0,show
support.v.09,1,play a subordinate role to (another performer),0,0,0,0,support
research.v.01,1,attempt to find out in a systematically and scientific manner,0,0,1,0,research
ink.v.01,1,append one's signature to,0,0,0,0,ink
co-founded,1,co-founded,0,0,0,0,co-founded
deliver.v.01,1,"deliver (a speech, oration, or idea)",0,0,0,0,present
retreat.v.02,1,"move away, as for privacy",0,0,0,0,retreat
work.v.19,1,"gratify and charm, usually in order to influence",0,0,1,1,work
encourage.v.02,1,inspire with confidence; give hope or courage to,0,0,0,0,encourage
stipulate.v.01,1,specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,0,0,0,1,qualify
induct.v.05,1,introduce or initiate,0,0,0,1,induct
accept.v.09,1,"receive (a report) officially, as from a committee",0,0,0,0,accept
accommodate.v.07,1,make (one thing) compatible with (another),0,0,0,0,reconcile
regenerate.v.09,1,restore strength,0,0,1,0,revitalize
create.v.04,1,"invest with a new title, office, or rank",0,0,0,0,create
follow_through.v.02,1,pursue to a conclusion or bring to a successful issue,0,0,0,0,implement
install.v.02,1,put into an office or a position,0,0,0,0,instal
inhale.v.02,1,draw in (air),0,0,0,0,inspire
turn.v.01,1,"change orientation or direction, also in the abstract sense",0,0,0,0,turn
coerce.v.01,1,"to cause to do through pressure or necessity, by physical, moral or intellectual means :",0,0,0,0,force
record.v.02,1,register electronically,0,0,0,0,record
complete.v.02,1,"bring to a whole, with all the necessary parts or elements",0,0,0,0,complete
check.v.18,1,"hold back, as of a danger or an enemy; check the expansion or influence of",0,0,0,0,arrest
lie.v.02,1,"be lying, be prostrate; be in a horizontal position",1,0,0,1,lie
catch.v.02,1,"perceive with the senses quickly, suddenly, or momentarily",1,0,0,1,catch
nominate.v.02,1,put forward; nominate for appointment to an office or for an honor or position,0,0,0,0,nominate
catch.v.01,1,"discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state",0,0,0,0,catch
prevent.v.02,1,stop (someone or something) from doing something or being in a certain state,0,0,0,0,prevent
overwhelm.v.01,1,"overcome, as with emotions or perceptual stimuli",0,0,0,0,overcome
