p_01,a_01,p_05,a_05,p_10,a_10
0.276,27,0.318,156,0.327,321
0.327,32,0.322,158,0.325,319
0.408,40,0.369,181,0.341,335
0.337,33,0.279,137,0.321,316
0.347,34,0.322,158,0.334,328
0.265,26,0.322,158,0.318,313
0.357,35,0.295,145,0.313,308
0.235,23,0.328,161,0.311,306
0.469,46,0.369,181,0.348,342
0.357,35,0.35,172,0.341,335
0.327,32,0.336,165,0.345,339
0.265,26,0.332,163,0.323,318
0.224,22,0.314,154,0.343,337
0.378,37,0.346,170,0.326,320
0.306,30,0.324,159,0.331,325
0.276,27,0.308,151,0.301,296
